timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:55:11.808, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:12.008, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:12.209, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:12.409, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:12.609, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:12.809, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:13.009, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:13.209, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:13.409, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:13.609, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:13.810, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:14.010, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:14.210, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:14.410, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:14.610, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:14.811, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:15.011, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:15.211, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:15.412, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:15.612, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:15.812, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:16.012, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:16.212, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:16.412, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:16.612, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:16.812, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:17.013, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:17.213, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:17.413, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:17.613, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:17.813, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:18.013, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:18.213, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:18.414, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:18.614, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:18.814, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:19.014, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:19.215, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:19.415, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:19.615, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:19.816, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:20.016, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:20.216, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:20.416, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:20.617, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:20.817, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:21.017, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:21.217, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:21.417, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:21.617, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:21.817, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:22.017, 3355 MiB, 28757 MiB, 0 %
