Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion.9#",PushPop,9446380,55624072,11880,795.1,768.0,736,244705,2238.1,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion.13#",PushPop,9367813,57250078,11880,788.5,768.0,736,1312,42.9,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion.12#",PushPop,9362694,61828131,11880,788.1,800.0,736,2848,39.9,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion.10#",PushPop,9350025,54100096,11880,787.0,800.0,736,896,17.5,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion.11#",PushPop,9349445,59182643,11880,787.0,800.0,736,1120,18.1,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion#",PushPop,9349416,59342150,11880,787.0,800.0,736,864,17.4,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion.7#",PushPop,9317319,42856817,11880,784.3,768.0,736,3168,40.0,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.67#",PushPop,9288113,63960643,11880,781.8,768.0,736,2976,40.3,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_dynamic_update_slice_fusion.14#",PushPop,9194210,62140111,11880,773.9,768.0,736,2656,37.1,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion.12#",PushPop,9193783,40728893,11880,773.9,768.0,736,2368,36.0,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.69#",PushPop,9170047,54070489,11610,789.8,800.0,736,2368,27.4,11610,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_add_fusion.20#",PushPop,9095872,44056424,11880,765.6,768.0,704,2272,39.8,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion.10#",PushPop,9018043,40004054,11880,759.1,768.0,704,3392,41.2,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion.9#",PushPop,9008134,38930720,11880,758.3,768.0,704,1088,20.0,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion.8#",PushPop,9001130,42313651,11880,757.7,768.0,704,3584,32.2,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion#",PushPop,8995034,44313636,11880,757.2,768.0,704,864,19.0,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=loop_add_fusion.11#",PushPop,8990440,39574179,11880,756.8,768.0,704,1248,21.5,11880,1.0,3.0,0.0
