Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
"TSL:XlaModule:#hlo_module=jit_true_divide,program_id=83#",PushPop,4064,62711,4,1016.0,992.0,928,1152,95.6,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_true_divide,program_id=23#",PushPop,3968,81011,4,992.0,992.0,960,1024,26.1,4,1.0,0.0,1.0
"TSL:XlaModule:#prefix=a,hlo_module=jit__squeeze,program_id=73#",PushPop,3840,51380,5,768.0,768.0,736,832,39.2,5,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=309#",PushPop,3808,87521,4,952.0,928.0,800,1152,179.8,4,1.0,0.0,1.0
"TSL:Thunk:#name=jit(concatenate)/concatenate,hlo_op=wrapped_concatenate#",PushPop,3776,52340,4,944.0,976.0,800,1024,106.1,4,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=273#",PushPop,3680,34330,1,3680.0,3680.0,3680,3680,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=209#",PushPop,3616,70690,1,3616.0,3616.0,3616,3616,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_convert_element_type,program_id=149#",PushPop,3616,64440,3,1205.3,1216.0,1088,1312,112.4,3,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=125#",PushPop,3456,60361,2,1728.0,1728.0,1472,1984,362.0,2,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=33#",PushPop,3456,49980,4,864.0,864.0,800,928,52.3,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_dynamic_slice,program_id=41#",PushPop,3424,124171,4,856.0,848.0,768,960,102.4,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=221#",PushPop,3424,45621,1,3424.0,3424.0,3424,3424,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=277#",PushPop,3360,34690,1,3360.0,3360.0,3360,3360,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=53#",PushPop,3360,76920,5,672.0,672.0,640,704,22.6,5,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_subtract,program_id=279#",PushPop,3360,69950,4,840.0,832.0,768,928,84.2,4,1.0,0.0,1.0
"TSL:Thunk:#name=jit(less),hlo_op=loop_compare_fusion#",PushPop,3296,25380,4,824.0,768.0,768,992,112.0,4,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=115#",PushPop,3296,55820,4,824.0,800.0,768,928,75.6,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_less,program_id=185#",PushPop,3296,54050,4,824.0,768.0,768,992,112.0,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=25#",PushPop,3296,230693,4,824.0,832.0,800,832,16.0,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=81#",PushPop,3264,63360,4,816.0,816.0,768,864,41.3,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_maximum,program_id=241#",PushPop,3264,30330,1,3264.0,3264.0,3264,3264,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=251#",PushPop,3232,30100,1,3232.0,3232.0,3232,3232,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=35#",PushPop,3232,61640,4,808.0,784.0,768,896,60.6,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=139#",PushPop,3200,49840,3,1066.7,1056.0,1056,1088,18.5,3,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=229#",PushPop,3200,34280,1,3200.0,3200.0,3200,3200,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=117#",PushPop,3168,75960,4,792.0,800.0,768,800,16.0,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_subtract,program_id=275#",PushPop,3168,32360,1,3168.0,3168.0,3168,3168,0.0,1,1.0,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_fusion#,PushPop,3136,12650,1,3136.0,3136.0,3136,3136,0.0,1,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=223#",PushPop,3136,43730,1,3136.0,3136.0,3136,3136,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_broadcast_in_dim,program_id=217#",PushPop,3136,64020,3,1045.3,928.0,896,1312,231.5,3,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=305#",PushPop,3136,54520,4,784.0,768.0,768,832,32.0,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=123#",PushPop,3104,82411,2,1552.0,1552.0,1408,1696,203.6,2,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=37#",PushPop,3104,52950,4,776.0,768.0,736,832,40.3,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_convert_element_type,program_id=261#",PushPop,3008,48841,3,1002.7,992.0,992,1024,18.5,3,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit__where,program_id=235#",PushPop,2976,34350,1,2976.0,2976.0,2976,2976,0.0,1,1.0,0.0,1.0
"TSL:Thunk:#name=jit(multiply),hlo_op=loop_multiply_fusion#",PushPop,2944,21080,1,2944.0,2944.0,2944,2944,0.0,1,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=253#",PushPop,2944,30400,1,2944.0,2944.0,2944,2944,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=211#",PushPop,2944,69451,1,2944.0,2944.0,2944,2944,0.0,1,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=29#",PushPop,2848,65071,3,949.3,1024.0,800,1024,129.3,3,1.0,0.0,1.0
